Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Cisplatin	1	1	2	50	54	72
Cisplatin	1	1	2	50	35	79
Cisplatin	1	1	2	50	40	88
Cisplatin	1	1	2	50	33	85
Cisplatin	1	1	2	50	31	87
Cisplatin	1	1	2	50	24	80
Cisplatin	1	2	1	1	26	87
Cisplatin	1	2	1	1	14	72
Cisplatin	1	2	1	1	20	104
Cisplatin	1	2	1	1	12	83
Cisplatin	1	2	1	1	10	73
Cisplatin	1	2	1	1	13	95
Cisplatin	1	2	1	1	16	76
Cisplatin	1	2	1	1	6	52
Cisplatin	1	2	1	1	10	67
Cisplatin	1	2	1	10	1	41
Cisplatin	1	2	1	10	7	66
Cisplatin	1	2	1	10	4	56
Cisplatin	1	2	1	10	7	50
Cisplatin	1	2	1	10	4	31
Cisplatin	1	2	1	10	4	38
Cisplatin	1	2	1	10	21	57
Cisplatin	1	2	1	10	4	69
Cisplatin	1	2	1	10	5	72
Cisplatin	1	2	1	20	15	53
Cisplatin	1	2	1	20	19	53
Cisplatin	1	2	1	20	17	62
Cisplatin	1	2	1	20	21	57
Cisplatin	1	2	1	20	18	52
Cisplatin	1	2	1	20	26	65
Cisplatin	1	2	1	20	21	86
Cisplatin	1	2	1	20	27	78
Cisplatin	1	2	1	20	26	81
Cisplatin	1	2	1	50	11	66
Cisplatin	1	2	1	50	17	78
Cisplatin	1	2	1	50	13	71
Cisplatin	1	2	1	50	9	78
Cisplatin	1	2	1	50	8	65
Cisplatin	1	2	1	50	16	59
Cisplatin	1	2	1	50	8	64
Cisplatin	1	2	1	50	12	54
Cisplatin	1	2	1	50	21	49
Cisplatin	1	2	2	1	43	79
Cisplatin	1	2	2	1	46	56
Cisplatin	1	2	2	1	43	62
Cisplatin	1	2	2	1	37	71
Cisplatin	1	2	2	1	38	58
Cisplatin	1	2	2	1	38	65
Cisplatin	1	2	2	1	45	68
Cisplatin	1	2	2	1	38	68
Cisplatin	1	2	2	1	60	82
Cisplatin	1	2	2	10	3	8
Cisplatin	1	2	2	10	5	22
Cisplatin	1	2	2	10	2	19
Cisplatin	1	2	2	10	3	7
Cisplatin	1	2	2	10	2	20
Cisplatin	1	2	2	10	2	18
Cisplatin	1	2	2	10	1	9
Cisplatin	1	2	2	10	3	7
Cisplatin	1	2	2	10	4	8
Cisplatin	1	2	2	20	81	94
Cisplatin	1	2	2	20	55	76
Cisplatin	1	2	2	20	49	79
Cisplatin	1	2	2	20	29	46
Cisplatin	1	2	2	20	31	57
Cisplatin	1	2	2	20	31	49
Cisplatin	1	2	2	20	33	63
Cisplatin	1	2	2	20	32	45
Cisplatin	1	2	2	20	36	59
Cisplatin	1	3	2	20	42	66
Cisplatin	1	3	2	20	27	70
Cisplatin	1	3	2	20	35	52
Cisplatin	1	3	2	20	26	42
Cisplatin	1	3	2	20	26	59
Cisplatin	1	3	2	20	31	44
Cisplatin	1	3	2	20	25	55
Cisplatin	1	3	2	20	28	49
Cisplatin	1	3	2	20	45	62
Control	1	1	0	0	25	93
Control	1	1	0	0	34	121
Control	1	1	0	0	31	110
Control	1	1	0	0	19	133
Control	1	1	0	0	20	119
Control	1	1	0	0	31	130
Control	1	1	0	0	34	123
Control	1	1	0	0	39	136
Control	1	1	0	0	55	136
Control	1	1	1	0	9	71
Control	1	1	1	0	11	66
Control	1	1	1	0	7	72
Control	1	1	1	0	6	58
Control	1	1	1	0	10	58
Control	1	1	1	0	6	61
Control	1	1	1	0	14	62
Control	1	1	1	0	8	59
Control	1	1	1	0	4	54
Control	1	1	2	0	46	61
Control	1	1	2	0	36	57
Control	1	1	2	0	48	62
Control	1	1	2	0	38	69
Control	1	1	2	0	50	71
Control	1	1	2	0	66	84
Control	1	1	2	0	50	72
Control	1	1	2	0	21	64
Control	1	1	2	0	44	68
Control	1	2	0	0	98	150
Control	1	2	0	0	70	144
Control	1	2	0	0	73	138
Control	1	2	0	0	56	141
Control	1	2	0	0	88	154
Control	1	2	0	0	69	140
Control	1	2	0	0	72	141
Control	1	2	0	0	80	152
Control	1	2	0	0	66	135
Control	1	2	1	0	9	70
Control	1	2	1	0	2	66
Control	1	2	1	0	5	62
Control	1	2	1	0	4	51
Control	1	2	1	0	6	63
Control	1	2	1	0	5	70
Control	1	2	1	0	4	81
Control	1	2	1	0	3	70
Control	1	2	1	0	3	55
Control	1	2	2	0	43	90
Control	1	2	2	0	37	56
Control	1	2	2	0	41	77
Control	1	2	2	0	34	77
Control	1	2	2	0	34	71
Control	1	2	2	0	31	75
Control	1	2	2	0	26	68
Control	1	2	2	0	27	88
Control	1	2	2	0	27	74
Control	1	3	0	0	42	147
Control	1	3	0	0	27	133
Control	1	3	0	0	34	123
Control	1	3	0	0	13	113
Control	1	3	0	0	33	139
Control	1	3	0	0	25	128
Control	1	3	0	0	59	140
Control	1	3	0	0	48	150
Control	1	3	0	0	49	139
