Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Carboplatin	7	1	2	50	4	23
Carboplatin	7	1	2	50	8	25
Carboplatin	7	1	2	50	5	44
Carboplatin	7	1	2	50	8	38
Carboplatin	7	1	2	50	3	30
Carboplatin	7	1	2	50	4	35
Carboplatin	7	1	2	50	15	52
Carboplatin	7	1	2	50	9	44
Carboplatin	7	1	3	1	29	78
Carboplatin	7	1	3	1	19	88
Carboplatin	7	1	3	1	25	85
Carboplatin	7	1	3	1	23	79
Carboplatin	7	1	3	1	16	73
Carboplatin	7	1	3	1	17	87
Carboplatin	7	1	3	1	14	83
Carboplatin	7	1	3	1	15	74
Carboplatin	7	1	3	1	18	89
Carboplatin	7	1	3	10	13	86
Carboplatin	7	1	3	10	12	89
Carboplatin	7	1	3	10	19	87
Carboplatin	7	1	3	10	20	107
Carboplatin	7	1	3	10	19	98
Carboplatin	7	1	3	10	33	102
Carboplatin	7	1	3	10	24	89
Carboplatin	7	1	3	10	25	111
Carboplatin	7	1	3	10	37	102
Carboplatin	7	1	3	20	21	68
Carboplatin	7	1	3	20	24	107
Carboplatin	7	1	3	20	24	79
Carboplatin	7	1	3	20	33	126
Carboplatin	7	1	3	20	25	96
Carboplatin	7	1	3	20	30	111
Carboplatin	7	1	3	20	26	108
Carboplatin	7	1	3	20	31	102
Carboplatin	7	1	3	20	29	115
Carboplatin	7	1	3	50	33	104
Carboplatin	7	1	3	50	27	108
Carboplatin	7	1	3	50	17	92
Carboplatin	7	1	3	50	19	97
Carboplatin	7	1	3	50	18	90
Carboplatin	7	1	3	50	28	106
Carboplatin	7	1	3	50	30	97
Carboplatin	7	1	3	50	22	91
Carboplatin	7	1	3	50	24	100
Carboplatin	7	1	4	1	5	29
Carboplatin	7	1	4	1	4	28
Carboplatin	7	1	4	1	1	14
Carboplatin	7	1	4	1	1	23
Carboplatin	7	1	4	1	1	24
Carboplatin	7	1	4	1	2	38
Carboplatin	7	1	4	1	3	32
Carboplatin	7	1	4	10	4	64
Carboplatin	7	1	4	10	8	63
Carboplatin	7	1	4	10	6	47
Carboplatin	7	1	4	10	4	42
Carboplatin	7	1	4	10	1	50
Carboplatin	7	1	4	10	1	44
Carboplatin	7	1	4	10	2	29
Carboplatin	7	1	4	10	1	33
Carboplatin	7	1	4	10	2	34
Carboplatin	7	1	4	20	3	41
Carboplatin	7	1	4	20	1	42
Carboplatin	7	1	4	20	1	38
Carboplatin	7	1	4	20	1	12
Carboplatin	7	1	4	20	1	17
Carboplatin	7	1	4	20	2	22
Carboplatin	7	1	4	20	1	11
Carboplatin	7	1	4	20	4	22
Carboplatin	7	1	4	20	1	18
Carboplatin	7	1	4	50	2	33
Carboplatin	7	1	4	50	1	10
Carboplatin	7	1	4	50	1	29
Carboplatin	7	1	4	50	1	18
Carboplatin	7	1	4	50	1	25
Carboplatin	7	1	4	50	2	6
Carboplatin	7	1	4	50	2	16
Carboplatin	7	1	4	50	2	16
Control	7	1	0	0	34	153
Control	7	1	0	0	46	164
Control	7	1	0	0	49	148
Control	7	1	0	0	36	138
Control	7	1	0	0	36	150
Control	7	1	0	0	39	161
Control	7	1	0	0	36	149
Control	7	1	0	0	60	137
Control	7	1	0	0	54	150
Control	7	1	1	0	4	96
Control	7	1	1	0	12	102
Control	7	1	1	0	9	97
Control	7	1	1	0	7	76
Control	7	1	1	0	9	90
Control	7	1	1	0	9	94
Control	7	1	1	0	12	78
Control	7	1	1	0	13	92
Control	7	1	1	0	16	85
Control	7	1	2	0	13	43
Control	7	1	2	0	19	42
Control	7	1	2	0	13	42
Control	7	1	2	0	5	36
Control	7	1	2	0	7	37
Control	7	1	2	0	10	41
Control	7	1	2	0	7	23
Control	7	1	2	0	9	19
Control	7	1	2	0	6	27
Control	7	1	3	0	37	76
Control	7	1	3	0	34	87
Control	7	1	3	0	32	89
Control	7	1	3	0	29	91
Control	7	1	3	0	22	62
Control	7	1	3	0	26	92
Control	7	1	3	0	24	77
Control	7	1	3	0	26	71
Control	7	1	3	0	47	78
Control	7	1	4	0	20	74
Control	7	1	4	0	13	76
Control	7	1	4	0	13	75
Control	7	1	4	0	10	52
Control	7	1	4	0	3	62
Control	7	1	4	0	5	35
Control	7	1	4	0	1	39
Control	7	1	4	0	3	17
Control	7	1	4	0	1	32
Control	7	2	4	0	1	21
Control	7	2	4	0	3	40
Control	7	2	4	0	5	40
Control	7	2	4	0	7	39
Control	7	2	4	0	6	24
Control	7	2	4	0	6	21
Control	7	2	4	0	3	18
Control	7	2	4	0	4	20
Carboplatin	8	1	1	1	21	126
Carboplatin	8	1	1	1	27	131
Carboplatin	8	1	1	1	34	125
Carboplatin	8	1	1	1	22	151
Carboplatin	8	1	1	1	32	148
Carboplatin	8	1	1	1	29	130
Carboplatin	8	1	1	1	31	144
Carboplatin	8	1	1	1	33	161
Carboplatin	8	1	1	1	35	154
Carboplatin	8	1	1	10	123	1
Carboplatin	8	1	1	10	20	145
Carboplatin	8	1	1	10	13	126
Carboplatin	8	1	1	10	28	123
Carboplatin	8	1	1	10	18	115
Carboplatin	8	1	1	10	19	105
Carboplatin	8	1	1	10	9	122
Carboplatin	8	1	1	10	8	128
Carboplatin	8	1	1	10	6	135
Carboplatin	8	1	1	10	9	105
Carboplatin	8	1	1	20	20	149
Carboplatin	8	1	1	20	30	150
Carboplatin	8	1	1	20	21	133
Carboplatin	8	1	1	20	24	130
Carboplatin	8	1	1	20	13	115
Carboplatin	8	1	1	20	17	113
Carboplatin	8	1	1	20	24	119
Carboplatin	8	1	1	20	11	102
Carboplatin	8	1	1	20	18	113
Carboplatin	8	1	1	50	20	135
Carboplatin	8	1	1	50	11	142
Carboplatin	8	1	1	50	15	120
Carboplatin	8	1	1	50	13	117
Carboplatin	8	1	1	50	25	131
Carboplatin	8	1	1	50	17	161
Carboplatin	8	1	1	50	18	155
Carboplatin	8	1	1	50	19	157
Carboplatin	8	1	1	50	16	158
Carboplatin	8	1	2	1	4	15
Carboplatin	8	1	2	1	6	50
Carboplatin	8	1	2	1	7	50
Carboplatin	8	1	2	1	8	41
Carboplatin	8	1	2	1	9	54
Carboplatin	8	1	2	1	12	53
Carboplatin	8	1	2	1	2	50
Carboplatin	8	1	2	1	10	46
Carboplatin	8	1	2	1	5	44
Carboplatin	8	1	2	10	34	65
Carboplatin	8	1	2	10	26	73
Carboplatin	8	1	2	10	16	53
Carboplatin	8	1	2	10	17	60
Carboplatin	8	1	2	10	24	68
Carboplatin	8	1	2	10	14	79
Carboplatin	8	1	2	10	14	52
Carboplatin	8	1	2	10	22	62
Carboplatin	8	1	2	10	33	80
Carboplatin	8	1	2	20	7	47
Carboplatin	8	1	2	20	4	52
Carboplatin	8	1	2	20	18	66
Carboplatin	8	1	2	20	23	70
Carboplatin	8	1	2	20	19	66
Carboplatin	8	1	2	20	22	77
Carboplatin	8	1	2	20	31	73
Carboplatin	8	1	2	20	39	90
Carboplatin	8	1	2	20	30	81
Carboplatin	8	1	2	50	37	98
Carboplatin	8	1	2	50	21	70
Carboplatin	8	1	2	50	24	82
Carboplatin	8	1	2	50	21	60
Carboplatin	8	1	2	50	21	78
Carboplatin	8	1	2	50	25	82
Carboplatin	8	1	2	50	18	89
Carboplatin	8	1	2	50	19	96
Carboplatin	8	1	2	50	15	66
Carboplatin	8	1	3	1	68	141
Carboplatin	8	1	3	1	83	150
Carboplatin	8	1	3	1	58	169
Carboplatin	8	1	3	1	66	168
Carboplatin	8	1	3	1	40	138
Carboplatin	8	1	3	1	52	154
Carboplatin	8	1	3	1	30	132
Carboplatin	8	1	3	1	59	188
Carboplatin	8	1	3	1	39	159
Carboplatin	8	1	3	10	13	93
Carboplatin	8	1	3	10	12	65
Carboplatin	8	1	3	10	19	114
Carboplatin	8	1	3	10	16	95
Carboplatin	8	1	3	10	27	130
Carboplatin	8	1	3	10	39	123
Carboplatin	8	1	3	10	43	145
Carboplatin	8	1	3	10	50	155
Carboplatin	8	1	3	10	43	138
Carboplatin	8	1	3	20	11	88
Carboplatin	8	1	3	20	9	99
Carboplatin	8	1	3	20	35	121
Carboplatin	8	1	3	20	43	154
Carboplatin	8	1	3	20	32	139
Carboplatin	8	1	3	20	40	129
Carboplatin	8	1	3	20	32	126
Carboplatin	8	1	3	20	34	111
Carboplatin	8	1	3	20	41	108
Carboplatin	8	1	3	50	43	144
Carboplatin	8	1	3	50	28	129
Carboplatin	8	1	3	50	26	136
Carboplatin	8	1	3	50	37	152
Carboplatin	8	1	3	50	43	134
Carboplatin	8	1	3	50	30	124
Carboplatin	8	1	3	50	26	118
Carboplatin	8	1	3	50	34	173
Carboplatin	8	1	3	50	21	121
Carboplatin	8	1	4	1	11	65
Carboplatin	8	1	4	1	19	77
Carboplatin	8	1	4	1	6	87
Carboplatin	8	1	4	1	12	71
Carboplatin	8	1	4	1	17	70
Carboplatin	8	1	4	1	5	50
Carboplatin	8	1	4	1	7	61
Carboplatin	8	1	4	1	7	54
Carboplatin	8	1	4	1	5	71
Carboplatin	8	1	4	10	27	42
Carboplatin	8	1	4	10	21	51
Carboplatin	8	1	4	10	24	60
Carboplatin	8	1	4	10	23	66
Carboplatin	8	1	4	10	21	73
Carboplatin	8	1	4	10	40	111
Carboplatin	8	1	4	10	29	89
Carboplatin	8	1	4	10	49	106
Carboplatin	8	1	4	10	63	115
Carboplatin	8	1	4	20	15	76
Carboplatin	8	1	4	20	22	101
Carboplatin	8	1	4	20	28	98
Carboplatin	8	1	4	20	30	110
Carboplatin	8	1	4	20	35	115
Carboplatin	8	1	4	20	20	95
Carboplatin	8	1	4	20	28	101
Carboplatin	8	1	4	20	21	100
Carboplatin	8	1	4	20	23	89
Carboplatin	8	1	4	50	29	77
Carboplatin	8	1	4	50	24	74
Carboplatin	8	1	4	50	20	81
Carboplatin	8	1	4	50	11	73
Carboplatin	8	1	4	50	23	80
Carboplatin	8	1	4	50	23	106
Carboplatin	8	1	4	50	34	92
Control	8	1	0	0	49	174
Control	8	1	0	0	62	164
Control	8	1	0	0	40	163
Control	8	1	0	0	35	154
Control	8	1	0	0	45	141
Control	8	1	0	0	49	142
Control	8	1	0	0	51	187
Control	8	1	0	0	56	182
Control	8	1	0	0	58	137
Control	8	1	1	0	34	151
Control	8	1	1	0	23	138
Control	8	1	1	0	15	136
Control	8	1	1	0	24	135
Control	8	1	1	0	25	121
Control	8	1	1	0	20	119
Control	8	1	1	0	14	118
Control	8	1	1	0	19	118
Control	8	1	1	0	13	110
Control	8	1	2	0	11	55
Control	8	1	2	0	7	43
Control	8	1	2	0	3	27
Control	8	1	2	0	3	20
Control	8	1	2	0	1	13
Control	8	1	2	0	5	26
Control	8	1	2	0	5	28
Control	8	1	2	0	7	21
Control	8	1	2	0	2	23
Control	8	1	3	0	31	131
Control	8	1	3	0	50	135
Control	8	1	3	0	45	155
Control	8	1	3	0	56	154
Control	8	1	3	0	62	184
Control	8	1	3	0	76	173
Control	8	1	3	0	63	162
Control	8	1	3	0	47	153
Control	8	1	3	0	61	153
Control	8	1	4	0	5	29
Control	8	1	4	0	6	46
Control	8	1	4	0	11	98
Control	8	1	4	0	19	117
Control	8	1	4	0	26	116
Control	8	1	4	0	14	97
Control	8	1	4	0	19	94
Control	8	1	4	0	32	119
Control	8	1	4	0	35	111
Control	8	2	4	0	6	94
Control	8	2	4	0	5	109
Control	8	2	4	0	3	81
Control	8	2	4	0	4	88
Control	8	2	4	0	9	81
Control	8	2	4	0	8	97
Control	8	2	4	0	12	78
Control	8	2	4	0	12	96
Control	8	2	4	0	24	82
